Name,Id,StartDate,EndDate,Longitude,Latitude,Rain_mm,Source
 ,BON_1,2500,2100,36.853114,34.755353,318.2909851,Morandi Bonacossi 2007
 ,BON_1,1900,1600,36.853114,34.755353,318.2909851,Morandi Bonacossi 2007
 ,BON_1,1600,1200,36.853114,34.755353,318.2909851,Morandi Bonacossi 2007
 ,BON_1,1000,700,36.853114,34.755353,318.2909851,Morandi Bonacossi 2007
 ,BON_11,2500,2100,36.84555,34.777831,318.2909851,Morandi Bonacossi 2007
 ,BON_11,1900,1600,36.84555,34.777831,318.2909851,Morandi Bonacossi 2007
 ,BON_11,1000,700,36.84555,34.777831,318.2909851,Morandi Bonacossi 2007
 ,BON_14,2500,2100,36.8541774,34.79260874,313.6919861,Morandi Bonacossi 2007
 ,BON_14,1000,700,36.8541774,34.79260874,313.6919861,Morandi Bonacossi 2007
 ,BON_16,2500,2100,36.79786606,34.82496123,311.3670044,Morandi Bonacossi 2007
 ,BON_16,1600,1200,36.79786606,34.82496123,311.3670044,Morandi Bonacossi 2007
 ,BON_16,1000,700,36.79786606,34.82496123,311.3670044,Morandi Bonacossi 2007
 ,BON_17,2500,2100,36.79910926,34.83823312,311.3670044,Morandi Bonacossi 2007
 ,BON_17,1000,700,36.79910926,34.83823312,311.3670044,Morandi Bonacossi 2007
 ,BON_18,2500,2100,36.899032,34.900197,273.3720093,Morandi Bonacossi 2007
 ,BON_18,1900,1600,36.899032,34.900197,273.3720093,Morandi Bonacossi 2007
 ,BON_18,1600,1200,36.899032,34.900197,273.3720093,Morandi Bonacossi 2007
 ,BON_18,1000,700,36.899032,34.900197,273.3720093,Morandi Bonacossi 2007
 ,BON_19,2500,2100,36.81362198,34.86263601,311.0119934,Morandi Bonacossi 2007
 ,BON_19,1600,1200,36.81362198,34.86263601,311.0119934,Morandi Bonacossi 2007
 ,BON_19,1000,700,36.81362198,34.86263601,311.0119934,Morandi Bonacossi 2007
 ,BON_20,2500,2100,36.86590593,34.83443503,313.6919861,Morandi Bonacossi 2007
 ,BON_20,1900,1600,36.86590593,34.83443503,313.6919861,Morandi Bonacossi 2007
 ,BON_20,1600,1200,36.86590593,34.83443503,313.6919861,Morandi Bonacossi 2007
 ,BON_20,1000,700,36.86590593,34.83443503,313.6919861,Morandi Bonacossi 2007
 ,BON_21,1000,700,36.89903211,34.90019667,273.3720093,Morandi Bonacossi 2007
 ,BON_22,2500,2100,36.799109,34.838233,311.3670044,Morandi Bonacossi 2007
 ,BON_22,1900,1600,36.799109,34.838233,311.3670044,Morandi Bonacossi 2007
 ,BON_22,1000,700,36.799109,34.838233,311.3670044,Morandi Bonacossi 2007
 ,BON_24,2500,2100,36.813622,34.862636,311.0119934,Morandi Bonacossi 2007
 ,BON_24,1900,1600,36.813622,34.862636,311.0119934,Morandi Bonacossi 2007
 ,BON_24,1000,700,36.813622,34.862636,311.0119934,Morandi Bonacossi 2007
 ,BON_26,2500,2100,36.821154,34.885242,311.0119934,Morandi Bonacossi 2007
 ,BON_26,1900,1600,36.821154,34.885242,311.0119934,Morandi Bonacossi 2007
 ,BON_26,1000,700,36.821154,34.885242,311.0119934,Morandi Bonacossi 2007
 ,BON_27,3500,2000,36.79179869,34.79658294,311.3670044,Morandi Bonacossi 2007
 ,BON_27,1900,1600,36.79179869,34.79658294,311.3670044,Morandi Bonacossi 2007
 ,BON_27,1600,1200,36.79179869,34.79658294,311.3670044,Morandi Bonacossi 2007
 ,BON_27,1200,550,36.79179869,34.79658294,311.3670044,Morandi Bonacossi 2007
 ,BON_28,3500,2000,36.857852,34.96135,299.0570068,Morandi Bonacossi 2007
 ,BON_28,1900,1600,36.857852,34.96135,299.0570068,Morandi Bonacossi 2007
 ,BON_28,1600,1200,36.857852,34.96135,299.0570068,Morandi Bonacossi 2007
 ,BON_28,1200,550,36.857852,34.96135,299.0570068,Morandi Bonacossi 2007
 ,BON_3,1900,1600,36.854177,34.792609,313.6919861,Morandi Bonacossi 2007
 ,BON_3,1000,700,36.854177,34.792609,313.6919861,Morandi Bonacossi 2007
 ,BON_30,1600,1200,36.880007,34.938869,310.9349976,Morandi Bonacossi 2007
 ,BON_31,2500,2100,36.842708,34.90844,310.9349976,Morandi Bonacossi 2007
 ,BON_32,1000,700,36.854753,34.83314,313.6919861,Morandi Bonacossi 2007
Tell Mishrife/Qatna,BON_34,2400,1300,36.853114,34.755353,318.2909851,Morandi Bonacossi 2007
 ,BON_5,2500,2100,36.924644,34.781335,280.0159912,Morandi Bonacossi 2007
 ,BON_6,2500,2100,36.959197,34.803361,281.894989,Morandi Bonacossi 2007
 ,BON_6,1900,1600,36.959197,34.803361,281.894989,Morandi Bonacossi 2007
 ,BON_6,1600,1200,36.959197,34.803361,281.894989,Morandi Bonacossi 2007
 ,BON_6,1000,700,36.959197,34.803361,281.894989,Morandi Bonacossi 2007
 ,BON_9,1600,1200,36.836551,34.774546,318.2909851,Morandi Bonacossi 2007
 ,BON_9,1000,700,36.836551,34.774546,318.2909851,Morandi Bonacossi 2007
 ,FCPNME_1,4400,3600,38.516577,37.520102,603.8250122,Wilkinson 1990
 ,FCPNME_1,3600,3000,38.516577,37.520102,603.8250122,Wilkinson 1990
 ,FCPNME_1,3100,2600,38.516577,37.520102,603.8250122,Wilkinson 1990
 ,FCPNME_1,2600,2200,38.516577,37.520102,603.8250122,Wilkinson 1990
 ,FCPNME_1,2200,1900,38.516577,37.520102,603.8250122,Wilkinson 1990
 ,FCPNME_2,4400,3600,38.594513,37.558543,575.0570068,Wilkinson 1990
 ,FCPNME_2,3600,3000,38.594513,37.558543,575.0570068,Wilkinson 1990
 ,FCPNME_2,3100,2600,38.594513,37.558543,575.0570068,Wilkinson 1990
 ,FCPNME_2,2600,2200,38.594513,37.558543,575.0570068,Wilkinson 1990
 ,FCPNME_2,2200,1900,38.594513,37.558543,575.0570068,Wilkinson 1990
 ,FCPNME_3,4400,3600,38.574225,37.558605,614.0819702,Wilkinson 1990
 ,FCPNME_3,3600,3000,38.574225,37.558605,614.0819702,Wilkinson 1990
 ,FCPNME_3,3100,2600,38.574225,37.558605,614.0819702,Wilkinson 1990
 ,FCPNME_3,2600,2200,38.574225,37.558605,614.0819702,Wilkinson 1990
 ,FCPNME_4,4400,3600,38.346673,37.492031,670.4589844,Wilkinson 1990
 ,FCPNME_4,3600,3000,38.346673,37.492031,670.4589844,Wilkinson 1990
 ,FCPNME_4,3100,2600,38.346673,37.492031,670.4589844,Wilkinson 1990
 ,FCPNME_4,2600,2200,38.346673,37.492031,670.4589844,Wilkinson 1990
 ,IWA_1,3500,2000,36.58122323,36.03748174,450.6740112,Iwasaki et al. 2003
 ,IWA_1,1900,1600,36.58122323,36.03748174,450.6740112,Iwasaki et al. 2003
 ,IWA_12,3500,2000,36.47876483,35.85756973,511.7359924,Iwasaki et al. 2003
 ,IWA_12,1900,1600,36.47876483,35.85756973,511.7359924,Iwasaki et al. 2003
 ,IWA_14,3500,2000,36.47699917,35.83271456,527.7869873,Iwasaki et al. 2003
 ,IWA_14,1900,1600,36.47699917,35.83271456,527.7869873,Iwasaki et al. 2003
 ,IWA_15,4200,3500,36.4650096,35.82134574,527.7869873,Iwasaki et al. 2003
 ,IWA_15,3500,2000,36.4650096,35.82134574,527.7869873,Iwasaki et al. 2003
 ,IWA_18,1900,1600,36.45816462,35.78655409,526.6400146,Iwasaki et al. 2003
 ,IWA_21,3500,2000,36.48745214,35.94171099,470.1319885,Iwasaki et al. 2003
 ,IWA_21,1900,1600,36.48745214,35.94171099,470.1319885,Iwasaki et al. 2003
